label,AA,AC,AF,AG,AGSP...23,AH,AL,AMPH,ANEM,AP,APR,AT,AU,BALL,BASP,BOSP,BRIA,CALG,CLAD,CLIO,CLIOSPP,CMOR,CN,CORAL...75,CORJU,DCA,DCY,DICT,DL,DSO,EF,ENGO,ENSP,ERYTH,FAN,FF,FLCY,GO,HALI,HC,IR,IS,LIAG,LOBO,LYNG,MACA,MAFO,MAL,MAN,MAR,MC,MD,MDA,MF,MICRO,MILA,MILC,MILS,ML,MM,MME,MSPP,MYSP,OA,OD,OFAV,OFRA,OX...53,PA,PALY,PB,PBSP,PCL,PD,PEY,PF,PLUME,PP,PS,RAMI,RO,ROD,ROPE,SARG,SB,SC,SCHIZ,SCSP,SH,SI,SL,SPO,SR,SS,SSPP,TC,TUBE,WHIP,ZO,ZOSO, ,YEAR,REGION,ISLAND
2001-STJ-EAST,0.6160987141786312,0,0,0,0,0,0,0,0,0,0,0,0,0.14619883040935672,0,0,0.6678931370980643,1.0494765281999323,0,0,0,0,0.6892230576441102,0.3308358083166801,0,33.5751632125952,0,11.219238095262924,0,0,0,0,0.12531328320802004,0.07092198581560284,0.5388471177944862,0,0,0.13550135501355015,18.21370195204735,0,0,0,0,0,0,10.950766834363913,0,0,0,0,2.37408674473837,0,0,0,0,0.20663956639566397,0.21276595744680848,0,0,0,0,0.07092198581560284,0,0,0,5.203078618532145,0,0.6382978723404255,0.9658042789034513,0,0,0,0,0, ,0,0,0.40139729404812846,0.2930417085297679, ,0,4.232713653200133,0,0,0,0,3.3587418009584686,0,0,0,0,0.35453216374269003,0,0.2930417085297679,0,0,0,0.13550135501355015,0,0," ",2001,EAST,STJ
2001-STX-EAST,0.19965748537537376,0,0,0,0,0,0,0,0,0,0,0,0,0.07462686567164178,0.22992899602722902,0.07101601045180289,0.1751074623056989,1.9698171369526598,0,0.024783147459727383,0,0,0,0.42663766056504543,0.028985507246376812,59.25896797252852,0,18.651415716661155,0.06557377049180328,0.04637807405973496,0.06621557780520886,0,1.5244633318681062,0,0.3635757352467352,0,0,0.05096205353911193,0.38595263561742205,0,0,0,0,0.04475079214908922,0,0.4816692061485028,0,0,0,0,2.1903022476714034,0,0,0,0,0.21687301394874423,0.06557377049180328,0.04371584699453552,0,0,0,0,0,0.7798675496688742,0,0.15708491598532157,1.1556398632321503,0.24779326969267548,0.4676158154411132,0,0,0,0,0, ,0,0.4527524104931018,0.9306147670311055,0.6196143801418649, ,0,2.3852232398781936,0.276825232787725,0.23540838852097132,0,0,0.021030494216614088,0,0,0,0,0.36853392992359907,0.07934513160942482,0.5428019542848007,0,0,0.10844076608838664,0.04464302378099536,0.02185792349726776,0," ",2001,EAST,STX
2001-STT-NORTH,0.21929824561403508,0,0,0,0,0,0,0,0,0,0,0,0,0.06720430107526881,0,0,0.7337801087801088,0.1884806735553004,0,0.22727272727272727,0,0,0,0.1957360632733767,0,77.20343203663023,0,2.644869750132908,0,0,0.14619883040935672,0.202991452991453,0.7958164849113332,0.27052238805970147,1.852128716913452,0,0,0,0,0,0,0,0,0,0,0.6620490664088464,0,0,0,0.06720430107526881,0.12939335580163697,0,0,0,0,0,0,0,0,2.6515151515151514,0,0,0,0.2679556106975462,0,0.06944444444444445,0.7853207082865243,0.322027682102309,0.12939335580163697,0.1388888888888889,0,0,0,0.062189054726368154, ,0,0.9071170764719152,0,0, ,0,2.5384098834546087,0.31596051998074143,0,0,0,0,0,0,0,0,0,0,0.07309941520467836,0,0,0.2719372154507598,0,0,0," ",2001,NORTH,STT
2001-STX-NORTH,0.5968093753709516,0,0,0,0,0,0,0,0,0,0,0,0,0.05812343589180943,0.41116804613066427,0.07516085947458497,0,2.257121160741787,0,0,0,0,0.06476771102497847,0.3344664604402295,0,69.58675294328106,0,1.4702194679687477,0.15149398680289486,0,0,0,0.32657465972108374,0,0,0,0,1.4730552994135508,0,0,0,0.02153316106804479,0,0.15685610154000956,0,1.8035713896312349,0,0.02153316106804479,0,0,1.943011660270883,0,0,0.10140084510793893,0,0.30735838780609415,0.019425019425019424,0,0,0,0.21018937270183058,0,0,0,0,0.4896635733142998,0.1324240907574241,4.844745110076378,1.1282880065955407,0,0,0,0,0.04306632213608958, ,0.044444444444444446,0.01815541031227306,0.46340733157805564,0.5328308113500396, ,0,0.4363474382077147,0.1366948566200929,0.01815541031227306,0.07611778445111778,0,0,0,0,0.09462488994652737,0,2.1804646605366202,0,1.3913524875354244,0,0,0,0,0.18897089966131062,0," ",2001,NORTH,STX
2001-STT-SOUTH,0.12771579565472696,0,0,0,0,0,0,0,0,0,0,0,0,0.13354700854700854,0.18587360594795538,0,0.5027737333563265,0,0,0.06195786864931846,0,0,0.06195786864931846,0.06410256410256411,0,47.17060536924537,0,30.65027990792059,0.2628046261875258,0,0,0.19083969465648853,1.8651008692049866,0.12391573729863692,0.19336018174308137,0,0,0.06195786864931846,0.13354700854700854,0,0,0,0,0.18752896885079975,0,5.218516543805996,0,0,0,0,1.8645774289024664,0,0,0,0,0.697299945451851,0,0,0,0,0.06195786864931846,0,0,0,0,0,0.06195786864931846,0,0.7661812330113077,0.32058664484740707,0,0,0,0, ,0.06361323155216285,0,1.0256751333931446,0.18752896885079975, ,0,0.5796309292613104,0.1858736059479554,0,0,0,0.37769196570524644,0,0,0.12820512820512822,0,2.079072441348613,0.06410256410256411,1.6203530385792937,0.2542655609570108,0,0.564054904203603,0,0,0," ",2001,SOUTH,STT
2001-STX-WEST,0.5162241887905605,0,0,0,0,0,0,0,0,0,0,0,0,0.07645259938837921,0.07645259938837921,0,0.1409506137596346,1.7003611786803037,0,0,0,0,0,0.3549372891067677,0,60.96251815810381,0,0.3346010031826095,0.3215169799644156,0,0,0.07645259938837921,1.1252265434575446,0,0,0,0,0,1.6780843614626373,0,0,0,0,0,0,5.1595557938664465,0,0,0,0,1.4033278087778138,0,0,0,0,0,0,0,0,0,0.30039782414549,0,0,12.815750654163407,0,2.019102673898563,2.1125646590568152,1.8486062190116748,2.1091745530709733,0.059952038369304565,0,0,0,0, ,0,0.33862352932902945,0.20161290322580647,0, ,0,0.25431267888914677,0,0,0,0,0,0,0,0,0,0.4241528532552465,0,0.49860941703647954,0,0,0.7825219076289587,0,0,0," ",2001,WEST,STX
2002-STJ-EAST,1.1167072542371312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07246376811594203,1.033857640824555,0,0,0,0,0.7177033492822966,0.14556040756914118,0,30.52582683641449,0,15.912389838910055,0,0,0,0,0.29112081513828236,0.07407407407407407,0.29808542794063364,0,0,0.076103500761035,0.29241468542778587,0,0,0,0,0,0,18.902987234152334,0,0,0,0,2.5294815919934925,0,0,0,0,0.4489240017279891,0,0,0,0,0,0,0,0.07246376811594203,0,6.2810302351337395,0,1.6957908605505858,0.7371406406186359,0,0,0,0,0, ,0,0.3778302445275555,0.440004519683888,0.14492753623188406, ,0,3.3267445994533302,0,0,0,0,11.559246363410557,0,0,0,0,0.29241468542778587,0.076103500761035,0.15017757483510907,0,0,0,0,0,0," ",2002,EAST,STJ
2002-STX-EAST,0.45469191996929836,0,0,0,0,0,0,0,0.025693730729701957,0,0,0,0,0,0.36402913728084435,0,0,0.4978103384047659,0,0,0,0,0.042639377465089015,0.06443002733008096,0,62.92282079231111,0,4.70663937534023,0,0.025693730729701957,0.02100840336134454,0.12745523741411457,0,0,0.18880776909048022,0,0,0.10088781275221954,0.40161662636240525,0,0,0,0,0.41185336327151134,0,12.561348518749934,0,0,0,0,1.894347686316683,0,0,0,0,0.33549051577342986,0,0,0,0,0.1327668613913967,0,0,0.059218559218559216,0,1.3953840420694947,0.10504201680672268,0.3175503883486319,0.6407395909273312,0.04035512510088781,0,0,0,0.025693730729701957, ,0,0.9635049144983269,0.47570762287364754,0.44110300327229063, ,0,3.2385621458122213,0.026068821689259645,0.13370261495407307,0,0,0.051670460194123954,0,0,0,0,1.9383289525678713,0,0.43082080434071385,0,0,0,0.15903028171078473,0,0," ",2002,EAST,STX
2002-STT-NORTH,0.07246376811594203,0,0,0,0.31055900621118016,0,0,0,0,0,0,0,0,0.06944444444444445,0.06944444444444445,0,0,0.5174432292853346,0,0,0,0,0,0.07974481658692185,0,32.49202708682114,0,22.55648855339931,0.23119392684610077,0,0,0,1.9420651430948914,0,2.322862079441027,0,0,0,0,0,0,0,0,0,0,26.561777797590153,0,0,0,0,0.3174603174603175,0,0.07936507936507937,0,0,0.21269841269841272,0,0,0,1.1805555555555556,0,0.462767590914044,0,1.2412014885699096,0,0,0.25,0,0.526984126984127,0,0,0,0,0, ,0,0.932454241664768,0.06944444444444445,0, ,0,1.1881644163108693,0.6448412698412698,0,0,0,0,0,0,0,0,0.7914430344636294,0,0.35929951690821255,0,0,0.6693583431569702,0,0,0," ",2002,NORTH,STT
2002-STX-NORTH,1.1113933985862101,0,0,0,0,0,0,0.015304560759106214,0,0,0,0,0,0.06405211348509263,0.6840954548293917,0.8699807189545546,0.013419216317767041,0.9901121988327799,0,0,0,0.014505366985784742,0.1533484364809666,0,0,66.41181346984878,0,1.849540692564709,0.30401389265416806,0,0.03723884503370818,0,0.09458011708410796,0,0.2602700270702733,0,0,0,0.03666421864226727,0,0,0,0,0.15151952238742225,0,7.207927804691595,0,0.02231146809460062,0,0.023245002324500233,2.441851052339635,0.013993842709207949,0,0.041152263374485604,0,0.27807685031384244,0,0,0,0.01984126984126984,0.22756110136314364,0,0,2.3349272701015797,0,2.0626745508422357,0.11146809460062472,0.7402720091204882,1.2787126192008824,0.38321279852069245,0,0,0,0, ,0,0.5441792971994472,0.4178904865993647,0.27723563978467336, ,0,1.3282900329577516,0.35927202255089014,0,0,0,0.11553212421174959,0,0,0.07921380234731092,0,1.1851246021202126,0,1.4817472327207097,0,0,0.16852506508436144,0.07356577841297994,0,0," ",2002,NORTH,STX
